SIGLA;DESCRICAO;NIVEL ENSINO;CH HORA RELOGIO;CH HORA AULA;CH QTD CREDITOS;ATIVO;SIGLA QACADEMICO;OBSERVACAO
POS.0150;Abastecimento de Água e Esgotamento Sanitário;Pós-graduação;45;45;3;Sim;-;-
ENG.0070;Acionamento Elétrico;Graduação;60;80;4;Sim;-;-
TSUB.0438;Acionamento Eletrônico;Médio;105;140;7;Sim;TSUB.207.0013;Curso 12808
TIN.0639;Acionamento Eletrônico;Médio;120;160;4;Sim;TIN.206.0009;-
TIN.1031;Acionamento Eletrônico;Médio;60;80;2;Sim;DATIIZN.046.1;-
TSUB.0711;Acionamentos e Comandos elétricos;Médio;60;80;4;Sim;TSUB.415.0009;-
TIN.0780;Acionamentos e Comandos Elétricos;Médio;60;80;4;Sim;TIN.115.0007;-
EJA.0198;Acionamentos e Comandos Elétricos;Médio;60;80;4;Sim;TEJA.104.0016;Curso 104
FIC.0495;Acompanhamento e avaliação de projetos sociais;Fundamental;20;20;1;Sim;-;-
FIC.0680;A disciplina de História em filmes: um caminho possível;Fundamental;24;32;2;Sim;-;-
TEC.0154;Administração Avançada de Serviços de Redes (NCT);Graduação;60;80;4;Sim;TEC.405.0001;-
TEC.1060;Administração da Produção;Graduação;60;80;4;Sim;-;-
FIC.0142;Administração da propriedade rural;Fundamental;18;24;1;Sim;-;-
FIC.0637;Administração da propriedade rural;Fundamental;10;13;1;Sim;-;-
FIC.0772;Administração da propriedade rural;Fundamental;12;16;1;Sim;-;-
TEC.0872;Administração de Banco de Dados;Graduação;45;60;3;Sim;INF.S028;Curso 404X
EJA.0078;Administração de Empresas Cooperativistas I;Médio;60;80;4;Sim;TEJA.417.0001;Curso 417
TIN.0508;Administração de Empresas Cooperativistas I;Médio;60;80;4;Sim;TIN.410.0004;-
EJA.0079;Administração de Empresas Cooperativistas II;Médio;60;80;4;Sim;TEJA.417.0002;Curso 417
TIN.0512;Administração de Empresas Cooperativistas II;Médio;45;60;3;Sim;TIN.410.0005;-
TSUB.0725;Administração de Materiais;Médio;76;101;5;Sim;TEC.067.0006;-
FIC.1001;Administração de Materiais;Fundamental;30;40;2;Sim;-;-
TSUB.0958;Administração de Materiais;Médio;60;80;4;Sim;-;-
TEC.0264;Administração de Sistemas Abertos;Graduação;60;80;4;Sim;INF.S068;405x
TSUB.0383;Administração de Sistemas Abertos;Médio;90;120;6;Sim;TSUB.403.0010;Curso 403
TEC.0148;Administração de Sistemas Abertos (NCT);Graduação;60;80;4;Sim;TEC.405.0002;-
TEC.0873;Administração de Sistemas Operacionais;Graduação;60;80;4;Sim;INF.S025;Curso 404X
TEC.0717;Administração de Sistemas Operacionais de Redes;Graduação;60;80;4;Sim;TEC.NCT.UT.0084;-
TEC.0271;Administração de Sistemas Proprietários;Graduação;60;80;4;Sim;INF.S074;405x
TSUB.0389;Administração de Sistemas Proprietários;Médio;60;80;4;Sim;TSUB.403.0013;Curso 403
TEC.0155;Administração de Sistemas Proprietários (NCT);Graduação;60;80;4;Sim;TEC.405.0003;-
FIC.0372;Administração de Vendas;Fundamental;20;20;1;Sim;-;-
TEC.0674;Administração e Gestão Cultural;Graduação;60;80;4;Sim;TEC.412.0001;Curso 
CIV.0014;Administração e Logística na Construção Civil (60h);Graduação;60;80;4;Sim;-;-
ESA.0011;Administração, Empreendedorismo e Inovação (60h);Graduação;60;80;4;Sim;-;-
EJA.0099;Administração Financeira;Médio;60;80;4;Sim;TEJA.NA.0019;-
TIN.0525;Administração Financeira;Médio;60;80;4;Sim;TIN.NA.0060;.
TEC.0320;Administração Municipal;Graduação;60;80;4;Sim;SUP.053;Curso 01436X
FIC.0424;Administração rural;Fundamental;9;12;1;Sim;-;-
EJA.0008;Administração Rural e Economia Solidária;Médio;90;120;6;Sim;TEJA.305.0008;Curso 305
TIN.0479;Administração Rural e Economia Solidária;Médio;90;120;6;Sim;TIN.306.0014;-
FIC.0361;A EaD no IFRN e o ambiente virtual de aprendizagem;Fundamental;16;16;1;Sim;-;-
FIC.0869;A Educação Alimentar e Nutricional nas escolas;Fundamental;24;32;2;Sim;-;-
FIC.0868;A Educação alimentar e nutricional no contexto do PNAE;Fundamental;6;8;1;Sim;-;-
FIC.0885;A Educação da Criança e a Legislação Vigente;Fundamental;9;12;1;Sim;-;-
POS.0540;A  Educação  Profissional  e a Educação de Jovens e Adultos na Política Educacional Brasileira;Pós-graduação;30;40;2;Sim;-;-
TEC.1152;Agenciamento e Roteirização Turística;Graduação;60;80;4;Sim;-;-
TSUB.0238;Agenciamento para Eventos;Médio;30;40;2;Sim;TSUB.808.0011;Curso 12808
TIN.0919;Agenciamento para Eventos;Médio;30;40;2;Sim;-;NT
FIC.0743;Agregados e Aglomerados;Fundamental;50;50;2;Sim;-;-
LIC.1076;Agricultura familiar;Graduação;60;80;4;Sim;-;-
LIC.0657;Agricultura familiar I;Graduação;30;40;2;Sim;-;-
LIC.0658;Agricultura familiar II;Graduação;45;60;3;Sim;-;-
TIN.0152;Agricultura Geral;Médio;30;40;2;Sim;TIN.108.0001;-
TEC.0347;Agricultura I;Graduação;60;80;4;Sim;TEC.805.0017;Curso 05805
TEC.0348;Agricultura II;Graduação;60;80;4;Sim;TEC.805.0018;Curso 05805
POS.0172;Agricultura Sustentável e Segurança Alimentar e Nutricional;Pós-graduação;45;45;3;Sim;-;-
TIN.0154;Agroecologia;Médio;30;40;2;Sim;TIN.108.0003;-
LIC.0712;Agroecologia;Graduação;30;40;2;Sim;-;Curso 710
FIC.0777;Agroecologia;Fundamental;15;20;1;Sim;-;-
EJA.0020;Agroecologia Geral;Médio;45;60;3;Sim;TEJA.NA.0003;-
TIN.0461;Agroecologia Geral;Médio;45;60;3;Sim;TIN.NA.0038;.
EJA.0080;Agroindústria I: Apicultura e Laticínios;Médio;60;80;4;Sim;TEJA.417.0003;Curso 417
TIN.0518;Agroindústria I: Apicultura e Laticínios;Médio;60;80;4;Sim;TIN.410.0011;-
EJA.0081;Agroindústria II: Cajucultura e Mandiocultura;Médio;60;80;4;Sim;TEJA.417.0004;Curso 417
TIN.0519;Agroindústria II: Cajucultura e Mandiocultura;Médio;60;80;4;Sim;TIN.410.0012;-
TSUB.0113;Agroindustrialização de Produtos de Origem Animal;Médio;60;80;4;Sim;TSUB.421.0010;Curso 08421
TIN.0221;Agroindustrialização de Produtos de Origem Animal;Médio;60;80;4;Sim;TIN.426.0014;-
EJA.0208;Agroindustrialização de Produtos de Origem Animal;Médio;60;80;4;Sim;TEJA.420.0001;Curso 420
TIN.0194;Agroindustrialização de Produtos de Origem Vegetal;Médio;60;80;4;Sim;TIN.108.0012;-
TEC.1078;Agrometeorologia;Graduação;60;80;4;Sim;-;-
TEC.0336;Agrometeorologia e Gestão dos Recursos Hídricos no Semiárido(60H);Graduação;60;80;4;Sim;TEC.805.0007;Curso 05805
FIC.0537;A importância da Química no nosso dia;Fundamental;1;2;0;Sim;-;-
FIC.0939;Alfabetização;Fundamental;30;40;2;Sim;-;-
POS.0227;Alfabetização e Letramento;Pós-graduação;30;40;2;Sim;-;-
LIC.0653;Alfabetização, letramento e numeramento no contexto da diversidade;Graduação;60;80;4;Sim;-;-
LIC.0922;Álgebra I;Graduação;60;80;4;Sim;-;matriz 324
LIC.0937;Álgebra II;Graduação;60;80;4;Sim;-;matriz 324
LIC.0220;Álgebra Linear;Graduação;90;120;6;Sim;LIC.601.0023;Curso 601
LIC.0425;Álgebra Linear;Graduação;45;60;3;Sim;LIC.NEp.0013;-
TEC.0874;Álgebra Linear;Graduação;45;60;3;Sim;FOR.S012;Curso 404X
LIC.0685;Álgebra Linear;Graduação;45;60;3;Sim;SUP.222;.
